meanAcu,stdAcu,meanPrec0,stdPrec0,meanPrec1,stdPrec1,meanRec0,stdRec0,meanRec1,stdRec1,meanF0,stdF0,meanF1,stdF1,meanSup0,stdSup0,meanSup1,stdSup1,classifier,winLen,overLap
0.6648,0.0575,0.667,0.0522,0.668,0.075,0.7956,0.1019,0.4722,0.0593,0.7249,0.0717,0.5464,0.0224,453.8,70.1524,335.4,37.94,classifier,1000,10
0.6685,0.0585,0.6749,0.054,0.6624,0.0684,0.7823,0.112,0.4925,0.0714,0.7233,0.0771,0.5568,0.0253,422.2,70.7994,308.2,40.8823,classifier,1500,10
0.6529,0.0656,0.6643,0.0641,0.6325,0.0624,0.7766,0.1133,0.4625,0.0734,0.7143,0.0817,0.5273,0.0301,391.2,68.3825,279.6,40.8441,classifier,2000,10
0.6554,0.0608,0.6743,0.0665,0.612,0.0362,0.7605,0.1031,0.4883,0.0645,0.7134,0.0791,0.5389,0.0301,359.2,66.403,251.8,44.0245,classifier,2500,10
0.6538,0.0706,0.6785,0.0757,0.6001,0.0465,0.7519,0.1076,0.494,0.0699,0.7114,0.0858,0.5379,0.0396,330,65.9485,225.4,44.3107,classifier,3000,10
0.6446,0.0682,0.6737,0.0812,0.5787,0.0357,0.7342,0.1177,0.494,0.0737,0.7004,0.0929,0.5282,0.0389,301,63.715,204.2,45.1327,classifier,3500,10
0.6401,0.078,0.6756,0.0884,0.5603,0.0355,0.7189,0.1166,0.4974,0.0593,0.6952,0.0991,0.5243,0.0337,274.4,61.7109,180.6,44.5179,classifier,4000,10
0.661,0.0783,0.6943,0.0869,0.5839,0.0456,0.7422,0.116,0.5073,0.0865,0.7156,0.0963,0.5389,0.0541,246.4,57.94,157.8,41.2766,classifier,4500,10
0.6541,0.0934,0.6972,0.1081,0.556,0.0456,0.7358,0.1176,0.5034,0.0821,0.7136,0.1076,0.5246,0.0535,224.8,52.9203,136.8,44.3143,classifier,5000,10
0.6691,0.0444,0.681,0.0487,0.6421,0.029,0.773,0.076,0.5144,0.0566,0.7237,0.0594,0.5686,0.0306,221.2,36.2293,162.6,18.7147,classifier,1000,20
0.6447,0.0576,0.6631,0.0589,0.6076,0.0387,0.7495,0.1087,0.4804,0.0806,0.702,0.0776,0.5304,0.0382,204.8,36.0688,147.6,19.0221,classifier,1500,20
0.6505,0.0599,0.6703,0.0691,0.6063,0.0335,0.7475,0.09,0.5039,0.046,0.706,0.0759,0.5484,0.0268,190.6,35.0291,137,20.7846,classifier,2000,20
0.6414,0.0599,0.6679,0.0665,0.5826,0.0386,0.7368,0.1074,0.4856,0.0755,0.6987,0.0807,0.5253,0.0417,174.6,33.5833,121.6,21.9509,classifier,2500,20
0.6405,0.0774,0.6741,0.0846,0.5675,0.0517,0.7213,0.1053,0.5005,0.0913,0.6956,0.0906,0.529,0.0658,160.6,32.946,109.2,22.0762,classifier,3000,20
0.6345,0.0855,0.6661,0.0947,0.5646,0.0423,0.7103,0.1398,0.4974,0.0756,0.6851,0.1129,0.5239,0.0434,146,32.7719,98.2,23.2241,classifier,3500,20
0.6326,0.0769,0.6756,0.0914,0.538,0.0227,0.7064,0.1168,0.4922,0.0491,0.6895,0.1013,0.5118,0.0207,132.4,29.6554,84.8,21.9399,classifier,4000,20
0.683,0.0633,0.7215,0.0681,0.601,0.0332,0.746,0.1257,0.5433,0.1077,0.7303,0.0904,0.5637,0.0557,119.2,27.0215,75,22.1088,classifier,4500,20
0.6128,0.0946,0.6735,0.1251,0.4911,0.0586,0.6933,0.0954,0.4802,0.0716,0.6809,0.1055,0.4813,0.0431,107.8,26.5737,65.2,22.0127,classifier,5000,20
0.6384,0.0554,0.6596,0.0561,0.5941,0.0454,0.7309,0.1132,0.4911,0.0748,0.6922,0.0805,0.533,0.0424,143.6,23.7116,104.6,12.7059,classifier,1000,30
0.6252,0.033,0.6524,0.0487,0.56,0.054,0.7321,0.073,0.4615,0.0679,0.6893,0.0572,0.5044,0.056,133.8,23.1983,96,13.784,classifier,1500,30
0.6213,0.0892,0.6483,0.0926,0.5665,0.0652,0.718,0.1176,0.4642,0.0512,0.6807,0.1024,0.5063,0.0351,124.2,22.569,87,15.5435,classifier,2000,30
0.6388,0.0595,0.6801,0.0742,0.5684,0.069,0.7044,0.1114,0.5288,0.0753,0.689,0.0833,0.5424,0.0434,113.8,22.498,78.2,14.9586,classifier,2500,30
0.6349,0.0813,0.673,0.1004,0.5578,0.0281,0.7207,0.0861,0.5022,0.0549,0.695,0.0913,0.527,0.0374,104.8,22.0127,70,14.0712,classifier,3000,30
0.6117,0.0828,0.6547,0.0917,0.5173,0.0668,0.6999,0.1055,0.4622,0.0584,0.676,0.0969,0.4872,0.0596,93.8,20.9609,61.6,13.6029,classifier,3500,30
0.6119,0.0774,0.6639,0.0945,0.5087,0.0386,0.669,0.125,0.4947,0.0622,0.6648,0.1074,0.4993,0.0373,86,19.8192,55.4,14.6779,classifier,4000,30
0.6164,0.0942,0.6809,0.1065,0.4993,0.0667,0.6615,0.118,0.5215,0.0404,0.6701,0.1106,0.5088,0.0493,77.8,19.4155,47.2,13.7171,classifier,4500,30
0.595,0.1041,0.6605,0.1328,0.4564,0.0529,0.6636,0.109,0.4572,0.0767,0.6614,0.1199,0.4556,0.0598,69.8,17.6227,41.6,14.7594,classifier,5000,30
0.6105,0.037,0.6417,0.0547,0.5438,0.0432,0.7065,0.0723,0.4665,0.0513,0.6721,0.0607,0.5011,0.0421,105,18.5257,76.2,8.5182,classifier,1000,40
0.6282,0.0435,0.6645,0.0639,0.5589,0.0258,0.6973,0.0742,0.5175,0.0616,0.6799,0.0662,0.5363,0.0414,97.2,17.302,69.8,10.5527,classifier,1500,40
0.6133,0.0745,0.658,0.1036,0.537,0.052,0.6966,0.0714,0.4979,0.0723,0.6751,0.0829,0.5133,0.046,90.6,17.0247,62.8,10.9435,classifier,2000,40
0.6358,0.0473,0.6797,0.0717,0.5505,0.0484,0.7263,0.0655,0.4941,0.0956,0.6998,0.0569,0.5167,0.0619,83.8,16.8452,56,9.859,classifier,2500,40
0.6212,0.0626,0.6702,0.0797,0.5266,0.0312,0.6907,0.087,0.4971,0.057,0.6798,0.0811,0.5099,0.0389,76.6,16.3291,50.4,10.4805,classifier,3000,40
0.5991,0.0564,0.6541,0.0827,0.4937,0.0854,0.6578,0.1129,0.4902,0.091,0.6527,0.092,0.4876,0.0761,67.8,17.186,44.8,11.3384,classifier,3500,40
0.6171,0.0554,0.6823,0.09,0.5027,0.0482,0.6593,0.0788,0.5328,0.0476,0.6698,0.0817,0.516,0.0395,62.2,14.6068,39.2,9.8265,classifier,4000,40
0.5747,0.0406,0.6682,0.0966,0.4355,0.0859,0.6081,0.0624,0.5049,0.0529,0.6344,0.0711,0.4636,0.0592,56.8,14.9987,33.8,10.98,classifier,4500,40
0.577,0.0604,0.6657,0.1199,0.4249,0.0785,0.6321,0.0536,0.4753,0.0635,0.6469,0.0836,0.4434,0.0545,50.2,12.3191,29.6,11.8254,classifier,5000,40
